Name,Mesh1,Mesh2,Mesh3,Mesh4,sfx1,sfx2,ID
金箍棒,(青士),,,RH_wand_002,RH_wand_002,,11,
铁笛,(今朝相伴),,,D011001,D011001,,701,
蛇型笛,(僧渡),,,D011003,D011003,,703,
点钢笛,(奈何累),,,D011004,D011004,,704,
锥笛,(对镜),,,D011006,D011006,,706,
青铜笛·钩镰,(豪雄),,,D011009,D011009,,709,
木柄笛,(一朝),,,D011013,D011013,,713,
铁剑,(踏遍),,,D007166,D007166,,601,
蛇剑,(君似我),,,D007188,D007188,,615,
点钢剑,(倾心),,,D007189,D007189,,616,
锥剑,(扁舟),,,D007187,D007187,,614,
青铜剑·钩镰,(愚公),,,D007185,D007185,,612,
木柄重剑,(秋水),,,D007186,D007186,,613,
开叉的脆竹笔,(多何益),,,RH_brush_001,RH_brush_001,,507,
开叉的硬竹笔,(淡淡百年),,,RH_brush_002,RH_brush_002,,508,
紫毫·先学,(倾国),,,RH_brush_004,RH_brush_004,,510,
开叉的软毫,(解语),,,RH_brush_003,RH_brush_003,,509,
紫毫·先学,(倾国),,,RH_brush_004,RH_brush_004,,510,
紫毫·先学,(倾国),,,RH_brush_004,RH_brush_004,,510,
紫毫·先学,(倾国),,,RH_brush_004,RH_brush_004,,510,
开叉的硬毫,(流鸣),,,RH_brush_005,RH_brush_005,,511,
紫毫·先学,(倾国),,,RH_brush_004,RH_brush_004,,510,
硬毫·兰竹,(六州),,,RH_brush_007,RH_brush_007,,513,
千机笔,(怒涛),,,RH_brush_052,RH_brush_052,,501,
开叉的兼毫,(多何益),,,RH_brush_001,RH_brush_001,,507,
硬毫·兰竹,(六州),,,RH_brush_007,RH_brush_007,,513,
硬毫·兰竹,(六州),,,RH_brush_007,RH_brush_007,,513,
开叉的羊毫,(淡淡百年),,,RH_brush_002,RH_brush_002,,508,
羊毫·玉兰蕊,(风月无极),,,RH_brush_008,RH_brush_008,,514,
羊毫·玉兰蕊,(风月无极),,,RH_brush_008,RH_brush_008,,514,
松谦笔,(零落),,,RH_brush_042,RH_brush_042,,541,
开叉的紫豪,(解语),,,RH_brush_003,RH_brush_003,,509,
狼毫·惊蛰,(沧浪),,,RH_brush_024,RH_brush_024,,529,
真卿笔,(风月无极),,,RH_brush_008,RH_brush_008,,514,
狼毫·惊蛰,(沧浪),,,RH_brush_024,RH_brush_024,,529,
狼毫·惊蛰,(沧浪),,,RH_brush_024,RH_brush_024,,529,
狼毫·惊蛰,(沧浪),,,RH_brush_024,RH_brush_024,,529,
狼毫·惊蛰,(沧浪),,,RH_brush_024,RH_brush_024,,529,
开叉的狼毫,(多何益),,,RH_brush_001,RH_brush_001,,507,
京提笔·银钩,(六州),,,RH_brush_007,RH_brush_007,,513,
右军,(沧海),,,RH_brush_013,RH_brush_013,,519,
左锋,(人间事),,,RH_brush_026,RH_brush_026,,531,
洛神,(高堂),,,RH_brush_030,RH_brush_030,,535,
河伯,(谈笑),,,RH_brush_018,RH_brush_018,,523,
杏林狼毫,(短歌),,,RH_brush_021,RH_brush_021,,526,
诗仙笔,(荡绝),,,RH_brush_009,RH_brush_009,,515,
京提笔·银钩,(六州),,,RH_brush_007,RH_brush_007,,513,
司徒玲珑笔,(人间事),,,RH_brush_026,RH_brush_026,,531,
京提笔·银钩,(六州),,,RH_brush_007,RH_brush_007,,513,
寄情笔,(云梦),,,RH_brush_010,RH_brush_010,,516,
京提笔·银钩,(六州),,,RH_brush_007,RH_brush_007,,513,
无悔钩,(休题),,,RH_brush_012,RH_brush_012,,518,
京提笔·银钩,(六州),,,RH_brush_007,RH_brush_007,,513,
开叉的京提笔,(莫虚),,,RH_brush_006,RH_brush_006,,512,
联锋笔·画浪,(云梦),,,RH_brush_010,RH_brush_010,,516,
临池,(贤王),,,RH_brush_011,RH_brush_011,,517,
劲松,(轻离别),,,RH_brush_027,RH_brush_027,,532,
无欲,(长恨),,,RH_brush_020,RH_brush_020,,525,
浪淘,(风味),,,RH_brush_043,RH_brush_043,,542,
梦吟笔,(倾国),,,RH_brush_004,RH_brush_004,,510,
联锋笔·画浪,(云梦),,,RH_brush_010,RH_brush_010,,516,
联锋笔·画浪,(云梦),,,RH_brush_010,RH_brush_010,,516,
联锋笔·画浪,(云梦),,,RH_brush_010,RH_brush_010,,516,
石竹笔,(莫虚),,,RH_brush_006,RH_brush_006,,512,
联锋笔·画浪,(云梦),,,RH_brush_010,RH_brush_010,,516,
开叉的联锋笔,(六州),,,RH_brush_007,RH_brush_007,,513,
长锋笔·墨债,(休题),,,RH_brush_012,RH_brush_012,,518,
九奇笔,(风味),,,RH_brush_043,RH_brush_043,,542,
长锋笔·墨债,(休题),,,RH_brush_012,RH_brush_012,,518,
阿里曼主祭笔,(沧海),,,RH_brush_013,RH_brush_013,,519,
点晴,(沧浪),,,RH_brush_024,RH_brush_024,,529,
镖师笔,(行云),,,RH_brush_033,RH_brush_033,,538,
破损不堪的装备,(古今情),,,RH_brush_028,RH_brush_028,,533,
长锋笔·墨债,(休题),,,RH_brush_012,RH_brush_012,,518,
惊雷,(忠贤),,,RH_brush_016,RH_brush_016,,522,
丹辰,(襄王),,,RH_brush_034,RH_brush_034,,539,
忘情,(二三子),,,RH_brush_044,RH_brush_044,,543,
写意,(行云),,,RH_brush_033,RH_brush_033,,538,
长锋笔·墨债,(休题),,,RH_brush_012,RH_brush_012,,518,
龙舌,(唐将军),,,RH_brush_014,RH_brush_014,,520,
琉璃玉竹笔,(贤王),,,RH_brush_011,RH_brush_011,,517,
长锋笔·墨债,(休题),,,RH_brush_012,RH_brush_012,,518,
炼蛇花,(谈笑),,,RH_brush_018,RH_brush_018,,523,
冰魂笔,(礼义),,,RH_brush_041,RH_brush_041,,540,
开叉的长峰笔,(倾国),,,RH_brush_004,RH_brush_004,,510,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
雪魂笔,(零落),,,RH_brush_042,RH_brush_042,,541,
俊逸,(古今情),,,RH_brush_028,RH_brush_028,,533,
银钩,(襄王),,,RH_brush_034,RH_brush_034,,539,
浩然,(洛神),,,RH_brush_031,RH_brush_031,,536,
泰斗,(绝世),,,RH_brush_032,RH_brush_032,,537,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
破损不堪的装备,(孤存),,,RH_brush_015,RH_brush_015,,521,
未命名的装备,(忠贤),,,RH_brush_016,RH_brush_016,,522,
未命名的装备,(谈笑),,,RH_brush_018,RH_brush_018,,523,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
墨海游龙,(风味),,,RH_brush_043,RH_brush_043,,542,
开叉的点苍笔,(风月无极),,,RH_brush_008,RH_brush_008,,514,
点苍笔·游云,(杯酒),,,RH_brush_025,RH_brush_025,,530,
六和曲笔,(歌狂),,,RH_brush_023,RH_brush_023,,528,
百里枫花,(短歌),,,RH_brush_021,RH_brush_021,,526,
王不留行,(南园),,,RH_brush_019,RH_brush_019,,524,
九尾,(鸥盟),,,RH_brush_029,RH_brush_029,,534,
破损不堪的装备,(古今情),,,RH_brush_028,RH_brush_028,,533,
书圣,(轻离别),,,RH_brush_027,RH_brush_027,,532,
草圣,(古今情),,,RH_brush_028,RH_brush_028,,533,
犀翠,(五更风),,,D007127,D007127,,548,
象牙金刚橛,(千载),,,D008051,D008051,,544,
天权,(绕梁),,,RH_brush_048,RH_brush_048,,553,
湘君,(绕梁),,,RH_brush_048,RH_brush_048,,553,
拜月,(云击),,,RH_brush_045,RH_brush_045,,552,
雪烛,(云击),,,RH_brush_045,RH_brush_045,,552,
未命名的装备,(楚舞),,,RH_brush_022,RH_brush_022,,527,
未命名的装备,(歌狂),,,RH_brush_023,RH_brush_023,,528,
泼墨,(二三子),,,RH_brush_044,RH_brush_044,,543,
溅花,(洛神),,,RH_brush_031,RH_brush_031,,536,
玉衡,(绝世),,,RH_brush_032,RH_brush_032,,537,
破损不堪的装备,(洛神),,,RH_brush_031,RH_brush_031,,536,
破损不堪的装备,(绝世),,,RH_brush_032,RH_brush_032,,537,
紫阳,(二三子),,,RH_brush_044,RH_brush_044,,543,
青木长棍,(青士),,,RH_wand_002,RH_wand_002,,11,
破损的木棍,(黄杨),,,RH_wand_001,RH_wand_001,,10,
桃木棍,(棕典),,,RH_wand_003,RH_wand_003,,12,
破损的硬木棍,(原澜),,,RH_wand_004,RH_wand_004,,13,
木棍·逞威,(旋轴),,,D010064,D010064,,9,
破损的长棍,(青士),,,RH_wand_002,RH_wand_002,,11,
木棍·逞威,(旋轴),,,D010064,D010064,,9,
天傲棍,(齐眉),,,D010038,D010038,,5,
木棍·逞威,(旋轴),,,D010064,D010064,,9,
木棍·逞威,(旋轴),,,D010064,D010064,,9,
破损的竹杆,(细竹钓),,,D010040,D010040,,6,
木棍·逞威,(旋轴),,,D010064,D010064,,9,
杆棒·不戒,(齐眉),,,D010038,D010038,,5,
精致木棍,(原澜),,,RH_wand_004,RH_wand_004,,13,
风火棍,(豹寻),,,RH_wand_007,RH_wand_007,,16,
破损的杆棒,(齐眉),,,D010038,D010038,,5,
杆棒·不戒,(齐眉),,,D010038,D010038,,5,
杆棒·不戒,(齐眉),,,D010038,D010038,,5,
破损的扫把,(扫地人),,,D010067,D010067,,3,
铜头棍·慈悲,(赤水),,,RH_wand_006,RH_wand_006,,15,
铜头棍·慈悲,(赤水),,,RH_wand_006,RH_wand_006,,15,
金刚棒,(粗糙的木棍),,,RH_wand_008,RH_wand_008,,17,
破损的戒棍,(黄杨),,,RH_wand_001,RH_wand_001,,10,
青铜棍·皆空,(白银锢),,,RH_wand_009,RH_wand_009,,18,
罗汉棍,(玄风),,,RH_wand_005,RH_wand_005,,14,
青铜棍·皆空,(白银锢),,,RH_wand_009,RH_wand_009,,18,
青铜棍·皆空,(白银锢),,,RH_wand_009,RH_wand_009,,18,
青铜棍·皆空,(白银锢),,,RH_wand_009,RH_wand_009,,18,
青铜棍·皆空,(白银锢),,,RH_wand_009,RH_wand_009,,18,
破损的紫竹杖,(青士),,,RH_wand_002,RH_wand_002,,11,
韦陀杖·真切,(豹寻),,,RH_wand_007,RH_wand_007,,16,
普渡,(金宵),,,RH_wand_012,RH_wand_012,,21,
众生,(菩提),,,RH_wand_011,RH_wand_011,,20,
不惊,(墨色染),,,RH_wand_013,RH_wand_013,,22,
渡法,(得吾),,,RH_wand_033,RH_wand_033,,42,
光明僧棍,(赤水),,,RH_wand_006,RH_wand_006,,15,
韦陀杖·真切,(豹寻),,,RH_wand_007,RH_wand_007,,16,
韦陀杖·真切,(豹寻),,,RH_wand_007,RH_wand_007,,16,
无缘杖,(旋轴),,,D010064,D010064,,9,
韦陀杖·真切,(豹寻),,,RH_wand_007,RH_wand_007,,16,
镇水棍,(白银锢),,,RH_wand_009,RH_wand_009,,18,
韦陀杖·真切,(豹寻),,,RH_wand_007,RH_wand_007,,16,
断雷棍,(金红),,,RH_wand_010,RH_wand_010,,19,
燕影棍,(红羽黯然),,,RH_wand_023,RH_wand_023,,32,
破损的韦陀杖,(青士),,,RH_wand_002,RH_wand_002,,11,
五行棍·无情,(玄风),,,RH_wand_005,RH_wand_005,,14,
搅海,(金箍),,,RH_wand_014,RH_wand_014,,23,
翻天,(紫节),,,RH_wand_016,RH_wand_016,,25,
亦空,(善思),,,RH_wand_030,RH_wand_030,,39,
亦色,(罪),,,RH_wand_031,RH_wand_031,,40,
晴元木,(墨色染),,,RH_wand_013,RH_wand_013,,22,
五行棍·无情,(玄风),,,RH_wand_005,RH_wand_005,,14,
五行棍·无义,(玄风),,,RH_wand_005,RH_wand_005,,14,
龙吟棍,(鲜竹),,,D010045,D010045,,7,
五行棍·无情,(玄风),,,RH_wand_005,RH_wand_005,,14,
诛妖杖,(棍胆),,,RH_wand_015,RH_wand_015,,24,
五行棍·无情,(玄风),,,RH_wand_005,RH_wand_005,,14,
五行棍,(玄风),,,RH_wand_005,RH_wand_005,,14,
白猿棍·自在,(点白),,,D010048,D010048,,8,
圣火棍,(龙钟),,,D010033,D010033,,4,
缠龙棒,(粹冰),,,RH_wand_027,RH_wand_027,,36,
盘花棍,(金宵),,,RH_wand_012,RH_wand_012,,21,
白猿棍·自在,(点白),,,D010048,D010048,,8,
无影棍,(墨色染),,,RH_wand_013,RH_wand_013,,22,
镖师棍,(焦头),,,RH_wand_017,RH_wand_017,,26,
破损不堪的装备,(金宵),,,RH_wand_012,RH_wand_012,,21,
白猿棍·如仇,(点白),,,D010048,D010048,,8,
飞龙,(棍胆),,,RH_wand_015,RH_wand_015,,24,
潜龙,(金宵),,,RH_wand_012,RH_wand_012,,21,
渡劫,(诺言),,,RH_wand_034,RH_wand_034,,43,
渡厄,(紫月灯),,,RH_wand_032,RH_wand_032,,41,
天火召,(狼牙木锤),,,D010006,D010006,,45,
白猿棍·自在,(点白),,,D010048,D010048,,8,
环罗铜头棍,(狼牙木锤),,,D010006,D010006,,45,
劫数(删除),(得吾),,,RH_wand_033,RH_wand_033,,42,
白猿棍·自在,(点白),,,D010048,D010048,,8,
苍浅杖,(白银锢),,,RH_wand_009,RH_wand_009,,18,
白猿棍,(点白),,,D010048,D010048,,8,
白猿棍·如仇,(点白),,,D010048,D010048,,8,
戒嗔棍,(赤水),,,RH_wand_006,RH_wand_006,,15,
千钧棒·克敌,(金宵),,,RH_wand_012,RH_wand_012,,21,
寒飞棍,(金红),,,RH_wand_010,RH_wand_010,,19,
千钧棒·克敌,(金宵),,,RH_wand_012,RH_wand_012,,21,
降龙,(罪),,,RH_wand_031,RH_wand_031,,40,
伏虎,(钻岩),,,RH_wand_020,RH_wand_020,,29,
摩诃,(粹冰),,,RH_wand_027,RH_wand_027,,36,
般若,(伤追),,,RH_wand_028,RH_wand_028,,37,
千钧棒·克敌,(金宵),,,RH_wand_012,RH_wand_012,,21,
精致竹笛,(今朝相伴),,,D011001,D011001,,701,
精致朱笔,(礼义),,,RH_brush_041,RH_brush_041,,540,
精致重剑,(踏遍),,,D007166,D007166,,601,
弃尘,(金箍),,,RH_wand_014,RH_wand_014,,23,
千钧棒·克敌,(金宵),,,RH_wand_012,RH_wand_012,,21,
度世梵辉,(闪环),,,RH_wand_019,RH_wand_019,,28,
千钧棒,(金宵),,,RH_wand_012,RH_wand_012,,21,
千钧棒·克敌,(金宵),,,RH_wand_012,RH_wand_012,,21,
佛问,(善思),,,RH_wand_030,RH_wand_030,,39,
四时木,(鲜竹),,,D010045,D010045,,7,
舍骨棒,(焦头),,,RH_wand_017,RH_wand_017,,26,
须弥柱,(不问如来),,,D010113,D010113,,34,
悟禅,(遗忘),,,RH_wand_029,RH_wand_029,,38,
颂道,(金箍),,,RH_wand_014,RH_wand_014,,23,
阿迦修罗·怨,(独尊),,,D010114,D010114,,46,
阿克陀加·刹,(唯我),,,D010110,D010110,,47,
玉衡,(蓝碧人),,,RH_wand_045,RH_wand_045,,51,
破悲苦,(红线凝锋),,,RH_wand_042,RH_wand_042,,50,
通天奇摩棍,(罪),,,RH_wand_031,RH_wand_031,,40,
弄雨,(遗忘),,,RH_wand_029,RH_wand_029,,38,
昱暝,(善思),,,RH_wand_030,RH_wand_030,,39,
雁凝眉,(礼佛),,,RH_wand_035,RH_wand_035,,44,
青铁剑,(潘安),,,RH_sword_003,RH_sword_003,,221,
豁口的木剑,(悲凉),,,RH_sword_001,RH_sword_001,,219,
精钢剑,(宋玉),,,RH_sword_002,RH_sword_002,,220,
豁口的锈剑,(空识),,,RH_sword_004,RH_sword_004,,222,
木剑·少杀,(悲凉),,,RH_sword_001,RH_sword_001,,219,
豁口的长剑,(香绝),,,RH_sword_005,RH_sword_005,,223,
木剑·少杀,(悲凉),,,RH_sword_001,RH_sword_001,,219,
落花剑,(月下临风),,,RH_sword_025,RH_sword_025,,240,
木剑·少杀,(悲凉),,,RH_sword_001,RH_sword_001,,219,
木剑·少杀,(悲凉),,,RH_sword_001,RH_sword_001,,219,
豁口的铁剑,(荒台),,,RH_sword_017,RH_sword_017,,235,
木剑·少杀,(悲凉),,,RH_sword_001,RH_sword_001,,219,
铁剑·落尘,(离缺),,,RH_sword_006,RH_sword_006,,224,
精致长剑,(永昼),,,RH_sword_022,RH_sword_022,,237,
问道剑,(荒台),,,RH_sword_017,RH_sword_017,,235,
修真剑,(荒台),,,RH_sword_017,RH_sword_017,,235,
豁口的短铗,(茫茫),,,D007111,D007111,,218,
铁剑·落尘,(离缺),,,RH_sword_006,RH_sword_006,,224,
铁剑·落尘,(离缺),,,RH_sword_006,RH_sword_006,,224,
纸伞,(梨花脸),,,D001002b,D001002b,,201,
红铜剑·飞雪,(征烟),,,RH_sword_010,RH_sword_010,,228,
红铜剑·飞雪,(征烟),,,RH_sword_010,RH_sword_010,,228,
青云剑,(望荆),,,RH_sword_029,RH_sword_029,,243,
玉流剑,(如洗),,,RH_sword_008,RH_sword_008,,226,
豁口的砍山刀,(茫茫),,,D007111,D007111,,218,
青铜剑·松纹,(潘安),,,RH_sword_003,RH_sword_003,,221,
御赐麒麟剑,(永昼),,,RH_sword_022,RH_sword_022,,237,
御赐灵龟剑,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
青铜剑·松纹,(潘安),,,RH_sword_003,RH_sword_003,,221,
青铜剑·松纹,(潘安),,,RH_sword_003,RH_sword_003,,221,
青铜剑·松纹,(潘安),,,RH_sword_003,RH_sword_003,,221,
青铜剑·松纹,(潘安),,,RH_sword_003,RH_sword_003,,221,
豁口的短斧,(小宅),,,D007004,D007004,,255,
精铁剑·火精,(月下临风),,,RH_sword_025,RH_sword_025,,240,
少阴,(黯然无绪),,,D007031,D007031,,203,
少阳,(阳关叠),,,D007108,D007108,,217,
无欲无求,(花心),,,RH_sword_011,RH_sword_011,,229,
太乙,(郎情妾意),,,RH_sword_012,RH_sword_012,,230,
紫电剑,(征烟),,,RH_sword_010,RH_sword_010,,228,
精铁剑·火精,(月下临风),,,RH_sword_025,RH_sword_025,,240,
辟寒刀,(拒霜),,,D007042,D007042,,206,
千叶,(华阙),,,D007040,D007040,,205,
精铁剑·火精,(月下临风),,,RH_sword_025,RH_sword_025,,240,
诉心剑,(情伤),,,RH_sword_007,RH_sword_007,,225,
毕义剑,(荒台),,,RH_sword_017,RH_sword_017,,235,
怨,(离缺),,,RH_sword_006,RH_sword_006,,224,
精铁剑·火精,(月下临风),,,RH_sword_025,RH_sword_025,,240,
精铁剑·火精,(月下临风),,,RH_sword_025,RH_sword_025,,240,
密令剑,(潘安),,,RH_sword_003,RH_sword_003,,221,
骨柄剑,(阳关叠),,,D007108,D007108,,217,
豁口的隋刀,(太野),,,D007049,D007049,,210,
服剑·流霜,(离缺),,,RH_sword_006,RH_sword_006,,224,
太阴,(如洗),,,RH_sword_008,RH_sword_008,,226,
太阳,(天外天),,,RH_sword_009,RH_sword_009,,227,
御魔,(望荆),,,RH_sword_029,RH_sword_029,,243,
五岳,(烟横),,,RH_Sword_026,RH_Sword_026,,241,
烟涛剑,(空识),,,RH_sword_004,RH_sword_004,,222,
服剑·孤风,(情伤),,,RH_sword_007,RH_sword_007,,225,
服剑·流霜,(离缺),,,RH_sword_006,RH_sword_006,,224,
服剑·孤风,(情伤),,,RH_sword_007,RH_sword_007,,225,
双修剑,(香绝),,,RH_sword_005,RH_sword_005,,223,
离岩剑,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
服剑·孤风,(情伤),,,RH_sword_007,RH_sword_007,,225,
食日弯刀,(小寄),,,RH_sword_024,RH_sword_024,,239,
无锋剑·白虹,(荒台),,,RH_sword_017,RH_sword_017,,235,
婧衣的佩剑,(郎情妾意),,,RH_sword_012,RH_sword_012,,230,
游月剑,(争狂),,,RH_Sword_027,RH_Sword_027,,242,
太虚遗剑,(如洗),,,RH_sword_008,RH_sword_008,,226,
成锋,(天外天),,,RH_sword_009,RH_sword_009,,227,
无锋剑·白虹,(荒台),,,RH_sword_017,RH_sword_017,,235,
开山剑,(香绝),,,RH_sword_005,RH_sword_005,,223,
镖师剑,(情足),,,RH_sword_016,RH_sword_016,,234,
无锋剑·贯日,(荒台),,,RH_sword_017,RH_sword_017,,235,
九阴,(无尘),,,D007047,D007047,,208,
九阳,(宝掣),,,D007046,D007046,,207,
承影,(争狂),,,RH_Sword_027,RH_Sword_027,,242,
纯钧,(永昼),,,RH_sword_022,RH_sword_022,,237,
轮炎斩月,(残灯),,,D007060,D007060,,250,
无锋剑·贯日,(荒台),,,RH_sword_017,RH_sword_017,,235,
仙水剑,(清晰),,,RH_sword_033,RH_sword_033,shell_033,245,
六道剑,(散人),,,RH_sword_032,RH_sword_032,shell_032,244,
贪眼黑狼刀,(细凤),,,D007045,D007045,,215,
无锋剑·白虹,(荒台),,,RH_sword_017,RH_sword_017,,235,
北寒剑,(离缺),,,RH_sword_006,RH_sword_006,,224,
无锋剑,(悲凉),,,RH_sword_001,RH_sword_001,,219,
太康剑·如电,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
解厄剑,(情足),,,RH_sword_016,RH_sword_016,,234,
太康剑·流影,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
外天之剑,(荒台),,,RH_sword_017,RH_sword_017,,235,
依心剑,(潘安),,,RH_sword_003,RH_sword_003,,221,
太康剑·流影,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
逸龙,(管弦),,,RH_Sword_013,RH_Sword_013,,231,
鸦九,(拒霜),,,D007042,D007042,,206,
上善若水,(熏风),,,RH_sword_021,RH_sword_021,,236,
赤霄,(黯然无绪),,,D007031,D007031,,203,
太康剑·如电,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
太康剑·流影,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
步虚玄锋,(无尘),,,D007047,D007047,,208,
神霄秘意,(无尘),,,D007047,D007047,,208,
太康剑,(潘安),,,RH_sword_003,RH_sword_003,,221,
太康剑·流影,(霜州),,,RH_Sword_023,RH_Sword_023,,238,
血弦剑,(流花),,,D007116,D007116,,258,
云笈,(云飞),,,D007032,D007032,,204,
随风鸣剑,(坚牢),,,RH_sword_015,RH_sword_015,,233,
鼎器,(无尘),,,D007047,D007047,,208,
参同契,(烟横),,,RH_Sword_026,RH_Sword_026,,241,
逍遥,(望荆),,,RH_sword_029,RH_sword_029,,243,
离殇,(争狂),,,RH_Sword_027,RH_Sword_027,,242,
斩风,(丹青),,,D007115,D007115,,259,
天枢,(长欢),,,RH_sword_046,RH_sword_046,shell_046,270,
君子,(归去来),,,RH_Sword_061,RH_Sword_061,,271,
天璇,(歌宵),,,RH_sword_055,RH_sword_055,Shell_055,268,
龙渊,(归来),,,RH_sword_058,RH_sword_058,,269,
尼苏姆婆·分海,(浪行),,,D007118,D007118,,260,
囚龙,(宝掣),,,D007046,D007046,,207,
霜鉴,(千魂乱),,,RH_sword_014,RH_sword_014,,232,
斩龙刃,(因散),,,D007019,D007019,,249,
碎云斩,(云飞),,,D007032,D007032,,204,
神龙出海剑,(无尘),,,D007047,D007047,,208,
青麟攀刃,(多遐),,,D007050,D007050,,211,
青木长枪,(无视),,,RH_spear_001,RH_spear_001,,128,
破损的木枪,(无视),,,RH_spear_001,RH_spear_001,,128,
白铁枪,(那行者),,,RH_spear_006,RH_spear_006,,133,
破损的硬木枪,(断执着),,,RH_spear_003,RH_spear_003,,130,
木枪·狩兽,(死念),,,RH_spear_002,RH_spear_002,,129,
破损的长枪,(王行),,,D010054,D010054,,103,
木枪·狩兽,(死念),,,RH_spear_002,RH_spear_002,,129,
无雁枪,(今何往),,,RH_Spear_007,RH_Spear_007,,134,
木枪·狩兽,(死念),,,RH_spear_002,RH_spear_002,,129,
