晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
镇元剑 (寄相思) , D007204, D007204,
霜愁 (池浅速谋) , LH_shield_055, RH_pike_056,
蛟搏 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
酉犀琴 (书味满堂) , LH_piano_024, RH_blade_004,
水龙吟·初荷 , RH_sword_320, RH_sword_321,
逍遥天下·本生禅杖 (玄弧) , D010070, D010070,
排秋 (孤屿) , LH_shield_006, RH_pike_006,
孚信袖 (高人) (高人·一) , D007172, D007172,
江潭落月剑 (无尘) , D007047, D007047,
名满天下·乌焉骨笛 (吹愁) , D011051, D011051,
天握 (定山河) , LH_BDdagger_002, RH_BDknife_002,
落花剑 (月下临风) , RH_sword_025, RH_sword_025,
申蛛笛 (天君) , D011021, D011021,
寻踪觅宝·荆楚枪 (送春日) , RH_spear_088b, RH_spear_088b,
剑试天下·魂山杖 (别难) , RH_wand_078, RH_wand_078,
西杏双剑 (不禁流苏) , RH_sword_255, RH_sword_255,
知音觅兮·晚江 (悲白) , LH_BDdagger_007, RH_BDknife_007,
风清 (夜归龙) , RH_bow_022, RH_bow_022,
赤胆横戈·青蓓弩 (寒鸦夜聚) (寒鸦夜聚·一) , RH_bow_054, RH_bow_054,
冠世风流·契阔盾刀 (击集千百) (击集千百·一) , LH_shield_056, RH_pike_057,
宿沙枪·璨 (青羽护) , RH_spear_127, RH_spear_127,
彩遥尘 (一生任性) , LH_piano_022, RH_blade_003,
采芝 (桓歌) , D011105, D011105,
悯叹 (裂土封疆·一) (裂土封疆) , RH_brush_051, RH_brush_051,
卧枕清听 (蚕鱼人烟·二) (蚕鱼人烟·三) (蚕鱼人烟·五) , RH_bow_049, RH_bow_049,
霜远红 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
天鹰 (华堂瘦) , RH_bow_014, RH_bow_014,
钰桐 (道吾不还) , LH_piano_021, RH_blade_002,
残木 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
赤羽疾风·鹏煊剑 (浪里浮冰) (浪里浮冰·一) , RH_sword_193, RH_sword_193,
摇五岳 (筝不归) , LH_shield_015, RH_pike_015,
灵辖古剑 (妙手画雕) (妙手画雕·一) (妙手画雕·二) (妙手画雕·三) , RH_sword_154, RH_sword_154,
宵星 (暴云) , LH_shield_001, RH_pike_001,
十方冰裂 , D007404, D007404,
七弦渡江 (一生任性) , LH_piano_022, RH_blade_003,
承颜心 (梦泽一击) , RH_brush_100b, RH_brush_100b,
星散自聚 (孤屿) , LH_shield_006, RH_pike_006,
素商 (突然多梦) , LH_piano_023, RH_blade_003,
莲华杖 (焦头) , RH_wand_017, RH_wand_017,
风月轻剑 (梨花脸) , D001002b, D001002b,
壮志凌云·析玉笛 (朔雪) , D011002b, D011002b,
琴鸣双剑 (造物垂冰) , RH_sword_161b, RH_sword_161b,
宿沙笛·曜 , D011087, D011087,
霜盏·杯雪 , RH_brush_153b, RH_brush_153b,
流彩宵练剑 (古稀) , RH_Sword_088, RH_Sword_088,
名满天下·决杀利刃 (腐草萤火) , RH_sword_141, RH_sword_141,
鬼劾 (深渊白浪) (深渊白浪·一) , RH_bow_029, RH_bow_029,
烈玉狸猫 (功成) , D011060b, D011060b,
西岩焕朝 (筝不归) , LH_shield_015, RH_pike_015,
愿长奏 (明桑) , D011010b, D011010b,
幽草剑 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
曜日映川 (芳草姑苏) , RH_bow_009, RH_bow_009,
测试装备 , RH_wand_104, RH_wand_104,
照国浪剑 (吞鲸之口) (吞鲸之口·一) , RH_sword_153, RH_sword_153,
半月 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
威破赤霄·盛兴长枪 (一人孤军) (一人孤军·一) , RH_spear_105, RH_spear_105,
星文弩 (夜归龙) , RH_bow_022, RH_bow_022,
千兽骨棒 (春竹吴酒) , Lh_stick_050, RH_flagon_086,
宿沙伞·黯 (云燕成双) , San_002, San_002,
月星兮肃 (莲心缠情) , D011109, D011109,
罹彦双剑 (掩太) , D007171, D007171,
膏凝 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
丹崖 (乱香残夜) , San_024, San_024,
碧落 , RH_brush_085, RH_brush_085, , RH_brush_054断鬼
交辉·煌 , RH_knife_055d, RH_knife_055d,
楚霜剑 (雪影凝辉) , RH_sword_271, RH_sword_271,
凋霜草 (红颜吹度·二) (红颜吹度·三) (红颜吹度·五) , RH_brush_110, RH_brush_110,
劣质的钻心匣 (鬓云斑) , RH_bow_004, RH_bow_004,
寻踪觅宝·余钟棍 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
素陌 (指上听) , LH_piano_003, RH_blade_003,
南风赫炎·腾鳞笛 (雷鸣) , D011005, D011005,
煞心焚骨·混溟剑 (松竹云隐) (松竹云隐·一) , RH_sword_308b, RH_sword_308b,
角梅轻剑 (侍微) , RH_sword_281, RH_sword_281,
